FID,OBJECTID,KEY_ID,VALUE,TYPE,FEATURECOD,FEATUREGUI,EPSCREATET,EPSMODIFYT,PROJECTID,MAPSCALE,SECURITY,UPDATEREGI,UPDATETIME,YEWBH,YEWID,DESCRIPTIO,X,Y
0,165234,231043,7.400000000000000,0,839100,{8A3FCEF2-2EE3-47AB-8EDE-89C71A7AE653},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35293.754999999997381,-16392.991000000001804
1,165235,231061,6.850000000000000,0,839100,{B66E63EB-B502-4290-86D2-F51949A9EE0C},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,36026.601000000002387,-16322.073000000000320
2,167591,232247,4.800000000000000,0,839100,{972FAE39-55D7-4C54-954C-F3CDA389170B},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35070.218999999997322,-15637.324000000000524
3,167592,232248,4.300000000000000,0,839100,{27C6A0E0-191F-44FB-B150-0BA7F50B6669},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35298.603000000002794,-15971.468000000000757
4,167593,232250,4.300000000000000,0,839100,{CAA0DF65-385E-42B4-9A3A-FB523822BE29},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35256.224000000001979,-15882.398999999999432
5,167594,232253,7.300000000000000,0,839100,{C104A85F-3F1A-4B67-9238-B0661C65FFBD},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35141.199999999997090,-15250.468999999999141
6,167595,232254,4.990000000000000,0,839100,{B9E91490-B9A9-4019-BB95-FCF6F2EBC9D1},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35275.065999999998894,-15312.507999999999811
7,169703,232204,5.190000000000000,0,839100,{62AE0CA5-1E3D-4EE6-B20A-1FE024C6A11C},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33451.228000000002794,-15434.933999999999287
8,169705,232208,6.900000000000000,0,839100,{8D210FC7-971D-4F5C-8094-D3935154D5C7},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34984.004999999997381,-15590.648999999999432
9,169706,232209,7.400000000000000,0,839100,{F9E188C4-A157-4437-8D25-5973A018DB76},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34838.258000000001630,-15566.766999999999825
10,169707,232210,4.550000000000000,0,839100,{E6FCB041-FCF0-470C-BA3D-B276A7E973ED},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34990.696000000003551,-15354.746999999999389
11,169708,232211,7.400000000000000,0,839100,{88A5EB40-A80C-449B-B42C-5A087AAF76F3},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34744.843999999997322,-15419.296000000000276
12,169709,232214,6.800000000000000,0,839100,{60008771-B2EB-47A6-80EB-7BC79C68A9F5},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34923.328000000001339,-15714.861000000000786
13,169710,232215,7.500000000000000,0,839100,{87535CCC-6070-4348-812E-DED75E98DC17},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34649.538999999997031,-15269.212999999999738
14,169712,232217,4.510000000000000,0,839100,{53ED84D1-5BF9-4ABF-B9B9-A48EE31DF308},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34138.286999999996624,-15507.545000000000073
15,169713,232218,4.400000000000000,0,839100,{C3BD3DB5-2637-48C1-BA8B-7EC7129A33C4},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34090.485000000000582,-15406.698000000000320
16,169714,232219,4.400000000000000,0,839100,{5CC1428C-BE7B-475F-9A77-3D5EF1A7A618},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34292.658000000003085,-15843.438000000000102
17,169715,232220,4.500000000000000,0,839100,{04D86299-A8A7-4821-8016-4FD5B935E5D1},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34253.764999999999418,-15757.318999999999505
18,169716,232221,4.500000000000000,0,839100,{98B31B1B-CDA3-48F3-A9E7-038CA2561BAD},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34195.953000000001339,-15633.058999999999287
19,169718,232224,4.400000000000000,0,839100,{19863DE9-66FF-4122-86AE-B33CC1CF2F71},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34048.756999999997788,-15315.836999999999534
20,169719,232225,6.470000000000000,0,839100,{E871DFA8-E6A1-4AFF-AFC6-F86EF86475C7},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34764.207999999998719,-15525.712999999999738
21,169720,232226,7.300000000000000,0,839100,{E3931609-0B2F-4D7E-A645-D42909FC5942},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35179.033000000003085,-15332.620000000000800
22,169721,232228,7.090000000000000,0,839100,{24E943DC-506E-4A2A-B65A-75728CFEF250},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35628.667999999997846,-15432.119000000000597
23,169722,232229,6.680000000000000,0,839100,{2E805B49-1B6D-4906-A5D3-CA1D165EA6FE},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35596.868999999998778,-15444.261000000000422
24,169723,232234,5.480000000000000,0,839100,{D9C3E095-CD52-4C23-9C04-2E070368F3FF},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35492.004000000000815,-15477.129999999999200
25,169724,232235,4.970000000000000,0,839100,{ED8999AB-C8B0-4003-A0FA-42BD4C9B02D2},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35331.991000000001804,-15429.789000000000669
26,169725,232236,7.300000000000000,0,839100,{3AF37386-D628-4CC6-ADB7-68297D6A078A},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35219.692000000002736,-15418.343000000000757
27,169726,232237,4.600000000000000,0,839100,{5A23D976-521C-4497-9685-1DE1607378BF},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35028.650999999998021,-15427.986000000000786
28,169727,232239,4.700000000000000,0,839100,{83607636-A3BC-486A-971F-C121D92C4A05},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35136.699999999997090,-15605.058999999999287
29,169728,232240,4.300000000000000,0,839100,{E8073967-1FA2-4238-9612-F6FB1B3FCC3A},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35170.519000000000233,-15700.832000000000335
